,Application No,HighSchool GPA,Physics Marks,Chem Marks,Biology Marks
0,1036,4.5,78,85,76
1,1072,3.0,98,105,96
2,1294,4.1,88,95,86
3,1294,3.3,78,85,76
4,1294,3.1,67,74,65
5,1467,2.9,87,94,85
6,1039,2.4,56,63,54
7,1467,3.2,45,52,43
8,1021,4.5,76,83,74
9,1016,3.0,87,94,85
10,1025,4.1,56,63,54
11,1032,3.3,54,61,52
12,1268,3.1,33,40,31
13,1087,2.9,67,74,65
14,1047,2.4,39,46,37
15,1050,3.2,87,94,85
16,1495,4.5,65,72,63
17,1263,3.0,54,61,52
18,1354,4.1,43,50,41
19,1028,3.3,23,30,21
20,1011,3.1,54,61,52
21,1480,2.9,33,40,31
22,1489,2.4,54,61,52
23,1489,3.2,65,72,63
24,1008,4.5,76,83,74
25,1489,3.0,67,74,65
26,1354,4.1,78,85,76
27,1354,3.3,98,105,96
28,1354,3.1,88,95,86
29,1489,2.9,78,85,76
30,1257,2.4,67,74,65
31,1354,3.2,87,94,85
32,1354,4.5,56,63,54
33,1354,3.0,45,52,43
34,1088,4.1,76,83,74
35,1366,3.3,87,94,85
36,1366,3.1,56,63,54
37,1096,2.9,54,61,52
38,1082,2.4,33,40,31
39,1366,3.2,67,74,65
40,1408,4.5,39,46,37
41,1409,3.0,87,94,85
42,1472,4.1,65,72,63
43,1117,3.3,54,61,52
44,1087,3.1,43,50,41
45,1420,2.9,23,30,21
46,1290,2.4,54,61,52
47,1486,3.2,33,40,31
48,1067,4.5,54,61,52
49,1464,3.0,65,72,63
50,1015,4.1,76,83,74
51,1010,3.3,67,74,65
52,1418,3.1,78,85,76
53,1298,2.9,98,105,96
54,1296,2.4,88,95,86
55,1268,3.2,78,85,76
56,1033,4.5,67,74,65
57,1491,3.0,87,94,85
58,1063,4.1,56,63,54
59,1472,3.3,45,52,43
60,1498,3.1,76,83,74
61,1125,2.9,87,94,85
62,1080,2.4,56,63,54
63,1259,3.2,54,61,52
64,1152,4.5,33,40,31
65,1029,3.0,67,74,65
